Date,Price,Open,High,Low,Change %
Jan 27  2019,55.17,53.38,55.43,51.13,3.51%
Jan 20  2019,53.30,53.67,54.19,51.62,-0.69%
Jan 13  2019,53.67,51.73,53.83,50.38,3.93%
Jan 06  2019,51.64,48.18,53.23,48.02,7.18%
Dec 30  2018,48.18,45.14,49.09,44.23,7.26%
Dec 23  2018,44.92,45.19,46.78,42.22,-0.35%
Dec 16  2018,45.08,51.23,51.84,44.86,-11.90%
Dec 09  2018,51.17,52.08,53.20,50.31,-1.69%
Dec 02  2018,52.05,52.40,54.45,50.02,2.87%
Nov 25  2018,50.60,50.47,52.41,49.34,-0.57%
Nov 18  2018,50.89,56.80,57.38,50.43,-10.42%
Nov 11  2018,56.81,60.69,61.24,54.76,-5.00%
Nov 04  2018,59.80,62.95,64.08,59.24,-4.73%
Oct 28  2018,62.77,67.46,67.85,62.59,-7.01%
Oct 21  2018,67.50,69.52,69.71,65.64,-2.72%
Oct 14  2018,69.39,72.00,72.78,68.53,-3.03%
Oct 07  2018,71.56,74.62,75.41,70.64,-3.95%
Sep 30  2018,74.50,73.58,77.12,73.19,0.98%
Sep 23  2018,73.78,71.58,74.00,71.55,3.78%
Sep 16  2018,71.09,69.11,72.11,68.61,2.78%
Sep 09  2018,69.17,68.14,71.50,67.64,1.47%
Sep 02  2018,68.17,70.44,71.89,67.23,-3.29%
Aug 26  2018,70.49,69.31,71.11,68.88,1.66%
Aug 19  2018,69.34,65.99,70.10,65.65,4.93%
Aug 12  2018,66.08,68.16,68.66,64.69,-3.15%
Aug 05  2018,68.23,69.30,70.56,66.62,-1.71%
Jul 29  2018,69.42,70.00,71.39,67.73,-0.93%
Jul 22  2018,70.07,69.39,71.05,68.78,0.86%
Jul 15  2018,69.47,70.53,70.89,67.08,-1.59%
Jul 08  2018,70.59,73.92,74.73,69.30,-4.61%
Jul 01  2018,74.00,73.72,75.34,72.22,-0.52%
Jun 24  2018,74.39,68.87,74.56,67.86,7.27%
Jun 17  2018,69.35,64.41,69.51,63.59,7.77%
Jun 10  2018,64.35,65.50,67.14,64.28,-1.83%
Jun 03  2018,65.55,65.61,66.17,64.19,-0.24%
May 27  2018,65.71,67.28,68.55,65.45,-2.54%
May 20  2018,67.42,71.36,72.80,67.34,-5.56%
May 13  2018,71.39,70.50,72.30,70.28,1.23%
May 06  2018,70.52,69.88,71.86,67.65,1.06%
Apr 29  2018,69.78,68.16,69.95,66.86,2.65%
Apr 22  2018,67.98,68.17,69.36,67.11,-0.16%
Apr 15  2018,68.09,67.37,69.55,65.56,1.16%
Apr 08  2018,67.31,61.97,67.72,61.91,8.76%
Apr 01  2018,61.89,64.84,65.36,61.77,-4.58%
Mar 25  2018,64.86,65.81,66.47,63.66,-1.35%
Mar 18  2018,65.75,62.20,65.91,61.38,5.61%
Mar 11  2018,62.26,62.11,62.55,60.14,0.13%
Mar 04  2018,62.18,61.63,63.31,60.03,1.07%
Feb 25  2018,61.52,63.66,64.30,60.20,-3.35%
Feb 18  2018,63.65,61.63,63.80,60.88,3.24%
Feb 11  2018,61.65,59.17,61.99,58.22,4.33%
Feb 04  2018,59.09,65.14,65.44,58.10,-9.26%
Jan 28  2018,65.12,66.30,66.52,63.73,-1.79%
Jan 21  2018,66.31,63.57,66.72,63.14,4.33%
Jan 14  2018,63.56,64.40,64.79,62.84,-1.27%
Jan 07  2018,64.38,61.68,64.74,61.31,4.60%
Dec 31  2017,61.55,60.22,62.18,60.09,2.19%
Dec 24  2017,60.23,58.52,60.45,58.29,3.06%
Dec 17  2017,58.44,57.36,58.45,56.84,1.97%
Dec 10  2017,57.31,57.20,58.50,56.05,0.10%
Dec 03  2017,57.25,58.19,58.19,55.74,-1.58%
Nov 26  2017,58.17,58.81,58.81,56.62,-0.87%
Nov 19  2017,58.68,56.59,58.73,55.57,3.66%
Nov 12  2017,56.61,56.83,57.09,54.78,-0.35%
Nov 05  2017,56.81,55.80,57.81,55.55,2.19%
Oct 29  2017,55.59,53.93,55.62,53.60,2.94%
Oct 22  2017,54.00,51.88,54.01,51.37,4.17%
Oct 15  2017,51.84,51.37,52.30,50.66,1.03%
Oct 08  2017,51.31,49.09,51.61,48.98,4.65%
Oct 01  2017,49.03,51.38,51.45,48.92,-4.50%
Sep 24  2017,51.34,50.35,52.54,50.05,2.13%
Sep 17  2017,50.27,49.84,50.70,49.19,0.94%
Sep 10  2017,49.80,47.52,50.46,46.95,4.86%
Sep 03  2017,47.49,47.28,49.34,47.17,0.34%
Aug 27  2017,47.33,47.93,48.24,45.62,-1.05%
Aug 20  2017,47.83,48.75,48.78,47.06,-1.65%
Aug 13  2017,48.63,48.91,49.28,46.58,-0.35%
Aug 06  2017,48.80,49.64,50.27,48.02,-1.45%
Jul 30  2017,49.52,49.88,50.45,48.39,-0.50%
Jul 23  2017,49.77,45.66,49.86,45.45,9.17%
Jul 16  2017,45.59,46.70,47.56,45.55,-2.25%
Jul 09  2017,46.64,44.42,46.81,43.72,5.21%
Jul 02  2017,44.33,46.31,47.36,43.81,-4.34%
Jun 25  2017,46.34,43.18,46.38,42.66,7.47%
Jun 18  2017,43.12,44.74,45.12,42.11,-3.53%
Jun 11  2017,44.70,45.86,46.77,44.28,-2.70%
Jun 04  2017,45.94,47.77,48.48,45.26,-3.83%
May 28  2017,47.77,50.03,50.38,46.84,-4.15%
May 21  2017,49.84,50.65,52.05,48.23,-1.29%
May 14  2017,50.49,47.98,50.66,47.88,5.50%
May 07  2017,47.86,46.39,48.27,45.58,2.99%
Apr 30  2017,46.47,49.22,49.36,43.80,-5.55%
Apr 23  2017,49.20,49.73,50.27,48.26,-0.87%
Apr 16  2017,49.63,52.99,53.23,49.22,-6.23%
Apr 09  2017,52.93,52.33,53.78,52.31,1.15%
Apr 02  2017,52.33,50.75,53.00,49.94,3.03%
Mar 26  2017,50.79,48.18,50.91,47.14,5.53%
Mar 19  2017,48.13,48.73,48.77,47.04,-1.13%
Mar 12  2017,48.68,48.53,49.70,47.17,0.62%
Mar 05  2017,48.38,53.22,53.83,48.34,-9.06%
Feb 26  2017,53.20,54.04,54.63,52.56,-1.48%
Feb 19  2017,54.00,53.52,54.97,53.39,1.16%
Feb 12  2017,53.38,53.90,54.05,52.78,-0.85%
Feb 05  2017,53.84,53.85,54.17,51.26,0.00%
Jan 29  2017,53.84,53.20,54.39,52.29,1.26%
Jan 22  2017,53.17,53.41,54.16,52.28,1.31%
Jan 15  2017,52.48,54.07,55.05,52.43,-0.10%
Jan 08  2017,52.53,53.87,53.95,50.83,-2.16%
Jan 01  2017,53.69,54.23,55.28,52.14,-0.37%
Dec 25  2016,53.89,53.36,54.44,53.11,1.22%
Dec 18  2016,53.24,52.18,53.82,51.54,2.33%
Dec 11  2016,52.03,52.65,54.58,50.02,1.07%
Dec 04  2016,51.48,51.49,52.45,49.64,-0.37%
Nov 27  2016,51.67,45.46,51.83,44.85,12.42%
Nov 20  2016,45.96,45.88,49.25,45.82,1.01%
Nov 13  2016,45.50,43.39,46.77,42.39,5.42%
Nov 06  2016,43.16,44.52,46.02,43.09,-2.22%
Oct 30  2016,44.14,48.28,48.78,43.61,-9.29%
Oct 23  2016,48.66,50.90,51.02,48.47,-4.49%
Oct 16  2016,50.95,50.28,51.98,49.52,1.23%
Oct 09  2016,50.33,49.61,51.64,49.19,1.43%
Oct 02  2016,49.62,48.15,50.85,47.89,3.27%
Sep 25  2016,48.05,44.63,48.33,44.20,7.71%
Sep 18  2016,44.61,43.25,46.62,42.62,3.41%
Sep 11  2016,43.14,45.69,46.63,42.86,-5.64%
Sep 04  2016,45.72,44.16,47.77,43.86,3.35%
Aug 28  2016,44.24,47.30,47.58,43.09,-6.47%
Aug 21  2016,47.30,48.41,48.48,46.44,-2.43%
Aug 14  2016,48.48,45.01,49.02,44.65,8.38%
Aug 07  2016,44.73,42.05,44.84,41.16,6.55%
Jul 31  2016,41.98,41.40,42.15,39.24,1.45%
Jul 24  2016,41.38,44.22,44.39,40.59,-6.53%
Jul 17  2016,44.27,46.14,46.16,43.71,-4.30%
Jul 10  2016,46.26,45.12,46.98,44.48,2.44%
Jul 03  2016,45.16,49.17,49.41,44.84,-8.32%
Jun 26  2016,49.26,47.84,50.03,45.86,3.47%
Jun 19  2016,47.61,48.39,50.64,46.80,-1.27%
Jun 12  2016,48.22,48.92,49.36,45.91,-1.43%
Jun 05  2016,48.92,48.95,51.75,48.78,0.14%
May 29  2016,48.85,49.59,50.16,47.80,-1.41%
May 22  2016,49.55,48.53,50.28,47.47,4.38%
May 15  2016,47.47,46.75,49.42,46.61,2.42%
May 08  2016,46.35,45.05,47.08,43.09,3.90%
May 01  2016,44.61,45.97,46.22,43.28,-3.02%
Apr 24  2016,46.00,43.86,46.89,42.61,5.22%
Apr 17  2016,43.72,38.82,44.56,37.68,8.19%
Apr 10  2016,40.41,39.75,42.45,39.28,1.87%
Apr 03  2016,39.67,36.62,39.86,35.26,8.09%
Mar 27  2016,36.70,39.62,40.22,36.70,-7.14%
Mar 20  2016,39.52,39.16,41.99,38.42,-2.49%
Mar 13  2016,40.53,39.64,42.67,37.43,5.33%
Mar 06  2016,38.48,36.23,39.05,36.12,5.98%
Feb 28  2016,36.31,32.76,36.38,32.36,10.73%
Feb 21  2016,32.79,29.88,34.85,29.64,9.78%
Feb 14  2016,29.87,29.71,32.62,29.34,2.58%
Feb 07  2016,29.12,31.01,31.42,26.09,-6.03%
Jan 31  2016,30.99,33.89,34.24,29.46,-8.18%
Jan 24  2016,33.75,32.08,34.85,29.28,4.65%
Jan 17  2016,32.25,29.24,32.39,26.23,8.55%
Jan 10  2016,29.71,33.01,33.27,29.20,-9.72%
Jan 03  2016,32.91,37.65,38.44,32.15,-11.32%
Dec 27  2015,37.11,38.09,38.18,36.31,-2.62%
Dec 20  2015,38.11,34.68,38.38,34.08,10.50%
Dec 13  2015,34.49,35.56,38.04,34.45,-2.46%
Dec 06  2015,35.36,40.14,40.19,35.19,-11.93%
Nov 29  2015,40.15,41.80,42.64,39.63,-3.86%
Nov 22  2015,41.76,41.51,43.48,40.43,3.03%
Nov 15  2015,40.53,41.02,42.35,39.09,-0.54%
Nov 08  2015,40.75,44.55,45.15,40.25,-8.53%
Nov 01  2015,44.55,46.48,48.41,44.16,-4.03%
Oct 25  2015,46.42,44.81,47.10,42.65,3.80%
Oct 18  2015,44.72,47.34,47.56,44.28,-5.39%
Oct 11  2015,47.27,49.55,50.18,45.27,-4.56%
Oct 04  2015,49.53,45.72,50.98,45.28,8.48%
Sep 27  2015,45.66,45.44,47.16,44.02,0.48%
Sep 20  2015,45.44,45.08,47.25,43.81,1.50%
Sep 13  2015,44.77,45.15,48.08,43.96,-0.02%
Sep 06  2015,44.78,45.85,46.44,43.39,-2.01%
Aug 30  2015,45.70,45.11,49.44,43.31,0.66%
Aug 23  2015,45.40,40.42,46.02,37.88,12.52%
Aug 16  2015,40.35,42.27,42.99,39.95,-4.29%
Aug 09  2015,42.16,43.63,45.40,41.41,-3.72%
Aug 02  2015,43.79,46.95,47.03,43.79,-6.37%
Jul 26  2015,46.77,48.09,49.62,46.77,-2.50%
Jul 19  2015,47.97,50.82,51.32,47.78,-5.57%
Jul 12  2015,50.80,52.22,53.57,50.21,-3.81%
Jul 05  2015,52.81,56.43,56.80,50.59,-6.53%
Jun 28  2015,56.50,58.87,59.72,56.53,-5.17%
Jun 21  2015,59.58,59.52,61.65,58.84,0.51%
Jun 14  2015,59.28,60.18,61.66,59.01,-1.15%
Jun 07  2015,59.97,59.00,61.86,57.91,1.78%
May 31  2015,58.92,60.33,61.61,56.86,-2.29%
May 24  2015,60.30,60.14,60.80,56.60,0.55%
May 17  2015,59.97,59.89,60.97,57.12,0.22%
May 10  2015,59.84,59.56,61.98,58.55,0.66%
May 03  2015,59.45,59.38,62.66,58.23,0.35%
Apr 26  2015,59.24,57.44,60.04,56.21,3.12%
Apr 19  2015,57.45,56.21,58.46,54.91,2.37%
Apr 12  2015,56.12,51.88,57.49,51.54,8.36%
Apr 05  2015,51.79,49.55,54.21,49.55,4.58%
Mar 29  2015,49.52,48.64,50.52,47.12,2.44%
Mar 22  2015,48.34,46.52,52.59,45.44,9.12%
Mar 15  2015,44.30,45.51,47.23,42.73,-1.51%
Mar 08  2015,44.98,49.66,50.84,44.80,-9.70%
Mar 01  2015,49.81,49.48,52.43,48.74,0.81%
Feb 22  2015,49.41,50.95,51.48,47.99,-3.06%
Feb 15  2015,50.97,55.68,57.08,52.08,-2.97%
Feb 08  2015,52.53,52.27,54.25,48.31,0.63%
Feb 01  2015,52.20,47.76,54.41,46.84,9.27%
Jan 25  2015,47.77,45.28,48.43,43.66,5.38%
Jan 18  2015,45.33,48.75,49.15,45.27,-6.48%
Jan 11  2015,48.47,48.64,51.73,44.66,0.56%
Jan 04  2015,48.20,52.72,52.83,46.94,-8.52%
Dec 28  2014,52.69,55.22,55.91,52.20,-4.43%
Dec 21  2014,55.13,57.82,58.60,54.58,-0.76%
Dec 14  2014,55.55,57.77,59.68,54.30,-3.41%
Dec 07  2014,57.51,65.59,65.68,57.47,-12.44%
Nov 30  2014,65.68,66.17,69.71,63.89,-0.56%
Nov 23  2014,66.05,76.84,77.23,65.91,-13.83%
Nov 16  2014,76.65,76.05,77.95,74.00,0.91%
Nov 09  2014,75.96,78.63,79.98,73.38,-3.16%
Nov 02  2014,78.44,80.65,81.04,75.90,-2.74%
Oct 26  2014,80.65,81.38,82.98,79.54,-0.81%
Oct 19  2014,81.31,83.22,84.13,80.13,-2.04%
Oct 12  2014,83.00,85.45,86.12,80.03,-2.95%
Oct 05  2014,85.52,90.03,91.00,83.86,-4.68%
Sep 28  2014,89.72,93.41,94.97,88.25,-3.95%
Sep 21  2014,93.41,92.28,93.92,90.64,1.07%
Sep 14  2014,92.42,92.34,95.41,90.84,0.28%
Sep 07  2014,92.16,93.52,93.97,90.46,-1.35%
Aug 31  2014,93.42,95.91,96.00,92.78,-2.55%
Aug 24  2014,95.86,93.37,96.03,93.08,2.58%
Aug 17  2014,93.45,97.22,97.28,92.62,-3.85%
Aug 10  2014,97.19,97.62,98.66,95.34,-0.23%
Aug 03  2014,97.41,97.83,98.83,96.71,-0.18%
Jul 27  2014,97.59,101.90,102.13,97.12,-4.24%
Jul 20  2014,101.91,103.05,105.33,101.08,-1.00%
Jul 13  2014,102.94,100.58,104.06,99.13,2.40%
Jul 06  2014,100.53,104.18,104.32,100.56,-3.36%
Jun 29  2014,104.02,105.78,106.18,103.76,-1.64%
Jun 22  2014,105.75,107.52,107.59,105.12,-0.80%
Jun 15  2014,106.60,107.28,108.13,105.72,-0.07%
Jun 08  2014,106.67,102.95,107.85,102.79,3.79%
Jun 01  2014,102.77,102.95,103.72,101.63,-0.12%
May 25  2014,102.89,104.42,104.58,102.48,-1.44%
May 18  2014,104.39,102.19,104.56,102.03,2.18%
May 11  2014,102.16,100.18,102.71,99.99,2.12%
May 04  2014,100.04,100.05,101.27,99.00,0.11%
Apr 27  2014,99.93,100.56,102.27,98.81,-0.75%
Apr 20  2014,100.69,104.56,104.78,100.50,-3.73%
Apr 13  2014,104.59,103.70,105.13,103.05,1.20%
Apr 06  2014,103.35,100.96,104.49,99.97,2.23%
Mar 30  2014,101.10,101.81,102.09,98.98,-0.50%
Mar 23  2014,101.61,99.61,102.36,98.92,2.00%
Mar 16  2014,99.62,99.51,100.94,97.49,0.62%
Mar 09  2014,99.01,102.78,102.85,97.58,-3.58%
Mar 02  2014,102.69,103.14,105.36,100.27,-0.02%
Feb 23  2014,102.71,102.34,103.50,101.07,0.39%
Feb 16  2014,102.31,100.34,103.82,100.25,1.92%
Feb 09  2014,100.38,100.07,101.41,99.13,0.21%
Feb 02  2014,100.17,97.48,100.32,96.34,2.77%
Jan 26  2014,97.47,96.97,98.66,95.28,0.58%
Jan 19  2014,96.91,94.01,97.85,93.44,2.99%
Jan 12  2014,94.10,92.94,95.04,91.53,1.35%
Jan 05  2014,92.85,94.23,94.64,91.29,-1.40%
Dec 29  2013,94.17,100.30,100.57,94.01,-5.98%
Dec 22  2013,100.16,99.26,100.81,98.59,1.02%
Dec 15  2013,99.15,96.61,99.46,96.27,2.79%
Dec 08  2013,96.46,97.76,98.85,96.36,-1.32%
Dec 01  2013,97.75,92.80,98.16,92.66,5.35%
Nov 24  2013,92.79,94.18,94.72,91.79,-2.11%
Nov 17  2013,94.79,93.89,95.74,92.54,1.21%
Nov 10  2013,93.66,94.55,95.47,92.61,-0.72%
Nov 03  2013,94.34,94.55,95.43,93.10,-0.29%
Oct 27  2013,94.61,97.94,98.88,94.42,-3.43%
Oct 20  2013,97.97,100.71,101.03,96.03,-2.76%
Oct 13  2013,100.75,101.50,103.09,100.16,-1.04%
Oct 06  2013,101.81,103.56,104.19,100.71,-1.78%
Sep 29  2013,103.66,102.59,104.51,101.19,0.81%
Sep 22  2013,102.83,104.97,105.20,102.28,-3.14%
Sep 15  2013,106.16,107.84,109.32,104.66,-2.23%
Sep 08  2013,108.58,110.34,110.52,106.45,-1.56%
Sep 01  2013,110.30,107.19,110.83,104.33,2.35%
Aug 25  2013,107.77,106.99,112.32,105.64,1.33%
Aug 18  2013,106.36,107.82,107.84,103.54,-1.19%
Aug 11  2013,107.64,105.98,108.31,105.17,1.46%
Aug 04  2013,106.09,107.00,107.85,102.38,-0.67%
Jul 28  2013,106.81,104.76,108.97,102.82,2.15%
Jul 21  2013,104.56,108.48,108.93,104.04,-3.38%
Jul 14  2013,108.22,106.83,110.10,105.44,1.88%
Jul 07  2013,106.22,104.09,107.59,102.28,2.57%
Jun 30  2013,103.56,96.66,103.75,96.14,7.33%
Jun 23  2013,96.49,93.95,97.92,92.77,2.79%
Jun 16  2013,93.87,97.98,99.15,93.25,-4.03%
Jun 09  2013,97.81,96.19,98.34,94.14,1.60%
Jun 02  2013,96.27,91.76,96.42,91.29,5.02%
May 26  2013,91.67,94.00,96.03,91.67,-2.32%
May 19  2013,93.85,95.99,97.16,92.26,-2.26%
May 12  2013,96.02,95.93,96.62,92.30,0.13%
May 05  2013,95.90,95.67,97.26,93.46,0.33%
Apr 28  2013,95.58,92.78,96.12,90.19,3.00%
Apr 21  2013,92.80,88.06,93.97,87.65,5.48%
Apr 14  2013,87.98,90.97,91.00,85.63,-2.96%
Apr 07  2013,90.66,93.07,94.88,90.32,-2.53%
Mar 31  2013,93.01,97.45,97.89,92.00,-4.30%
Mar 24  2013,97.19,93.78,97.41,93.77,3.54%
Mar 17  2013,93.87,93.34,94.18,91.84,0.40%
Mar 10  2013,93.50,91.97,93.98,91.03,1.76%
Mar 03  2013,91.88,90.76,92.09,89.38,1.00%
Feb 24  2013,90.97,93.28,94.51,90.09,-2.55%
Feb 17  2013,93.35,96.06,97.16,92.53,-2.88%
Feb 10  2013,96.12,95.87,98.19,95.05,0.39%
Feb 03  2013,95.75,97.73,97.78,95.06,-1.92%
Jan 27  2013,97.62,96.06,98.26,95.49,1.59%
Jan 20  2013,96.09,95.28,96.95,94.98,0.82%
Jan 13  2013,95.31,93.89,96.19,93.10,1.65%
Jan 06  2013,93.76,93.24,94.73,92.45,0.63%
Dec 30  2012,93.17,90.45,93.92,90.05,2.66%
Dec 23  2012,90.76,88.76,91.65,88.36,2.08%
Dec 16  2012,88.91,86.97,90.62,86.56,2.41%
Dec 09  2012,86.82,86.07,87.77,85.30,1.05%
Dec 02  2012,85.92,88.93,90.41,85.76,-3.28%
Nov 25  2012,88.83,88.34,89.12,85.49,0.63%
Nov 18  2012,88.27,87.33,89.83,86.20,1.93%
Nov 11  2012,86.60,86.21,87.03,84.59,0.53%
Nov 04  2012,86.14,84.81,89.38,84.20,1.63%
Oct 28  2012,84.76,86.53,87.52,84.76,-1.58%
Oct 21  2012,86.12,89.64,90.92,85.06,-4.20%
Oct 14  2012,89.90,92.38,93.80,90.54,-1.90%
Oct 07  2012,91.64,90.08,93.89,88.44,1.95%
Sep 30  2012,89.89,92.25,93.42,87.80,-2.39%
Sep 23  2012,92.09,93.21,93.22,88.97,-0.96%
Sep 16  2012,92.98,99.28,99.64,90.78,-6.13%
Sep 09  2012,99.05,96.28,100.46,95.38,2.88%
Sep 02  2012,96.28,96.39,97.72,94.09,-0.27%
Aug 26  2012,96.54,96.84,97.89,94.12,0.50%
Aug 19  2012,96.06,96.61,98.55,95.27,0.03%
Aug 12  2012,96.03,93.50,96.53,92.31,2.80%
Aug 05  2012,93.41,91.38,94.75,90.66,2.27%
Jul 29  2012,91.34,90.30,91.90,87.08,1.29%
Jul 22  2012,90.18,91.75,91.78,86.97,1.44%
Jul 15  2012,88.90,91.13,96.94,90.41,2.21%
Jul 08  2012,86.98,84.28,87.69,83.73,3.40%
Jul 01  2012,84.12,84.78,89.11,82.22,-0.90%
Jun 24  2012,84.88,80.22,85.36,77.30,5.94%
Jun 17  2012,80.12,85.11,85.61,77.58,-4.83%
Jun 10  2012,84.19,85.72,86.65,81.07,-0.15%
Jun 03  2012,84.32,82.97,87.03,81.22,1.25%
